Writer,Content,Date,Like,Tag,Comments,Url
ttoktakbro,배달음식점 푸딩 계란찜 레시피,2022-8-21,33.7K,['#틱톡푸드'],114,https://www.tiktok.com/@ttoktakbro/video/7134321312192843009?q=%EC%9D%8C%EC%8B%9D
cookat.magazine,초간단 로제 신라면🍜꾸덕꾸덕 존맛,7-27,203.7K,"['#라면', '#라면레시피', '#로제신라면', '#신라면레시피', '#로제치즈신라면']",472,https://www.tiktok.com/@cookat.magazine/video/7260435841498025218?q=%EC%9D%8C%EC%8B%9D
xiuasmr98,저는 보통 대창을 구워먹어요,5-31,174.7K,"['#asmr', '#eating', '#asmreating', '#fyp', '#입술계', '#통대창', '#대창', '#대창먹방']",5141,https://www.tiktok.com/@xiuasmr98/video/7239227443402312962?q=%EC%9D%8C%EC%8B%9D
td_food,,5-30,805K,"['#foodeatingasmr', '#amthucchina', '#foodtiktok', '#cookingasmr', '#asmrcooking', '#homecooking']",1644,https://www.tiktok.com/@td_food/video/7238900587406953754?q=%EC%9D%8C%EC%8B%9D
a.bite,유림이가 좋아하게될 음식,8-14,109.3K,"['#한판만', '#fyp', '#foryourpage', '#foryoupage', '#asmr', '#먹방', '#mukbang', '#food']",1112,https://www.tiktok.com/@a.bite/video/7267085176025435393?q=%EC%9D%8C%EC%8B%9D
promukbang,현실 진짜 매울때 찐 반응 캡사이신 라면 먹방 Eating really spicy ramen with capsaicin,9-7,83.4K,"['#매운라면', '#캡사이신']",949,https://www.tiktok.com/@promukbang/video/7276049241309482241?q=%EC%9D%8C%EC%8B%9D
ddo.sol,단맛 5단계 도전!!! 달달한 디저트 좋아하는 사람 모여라💛 여러분들은 몇단계까지 가능하신가요!!?🍯🍯🍯,4-9,126.2K,['#단맛'],2162,https://www.tiktok.com/@ddo.sol/video/7220037271720873218?q=%EC%9D%8C%EC%8B%9D
chueonny9277,먹으면 죽을지도 모르는 무서운 음식ㅎㄷㄷ🥶🥶,2022-7-30,34.1K,"['#발암주의', '#음식']",279,https://www.tiktok.com/@chueonny9277/video/7126139293038316801?q=%EC%9D%8C%EC%8B%9D
mukeunji1,🥄숟가락없이 마라탕 국물 먹기🤤,2-27,96.2K,"['#마라탕', '#마라탕먹방', '#마라먹방', '#마라', '#마라탕사랑해', '#마라탕asmr']",985,https://www.tiktok.com/@mukeunji1/video/7204756496033402113?q=%EC%9D%8C%EC%8B%9D
ddo.ddo.c,먹방 재밌다!!!!!! 오래살아서 마라탕은 꼭 먹어봐야지!!!,9-19,68.3K,['#응답하라0020'],606,https://www.tiktok.com/@ddo.ddo.c/video/7280522421248068882?q=%EC%9D%8C%EC%8B%9D
mukeunji1,이 조합 아는 사람 손🙋🏻‍♀️,2022-10-16,23.1K,"['#마라', '#마라먹방', '#먹방asmr', '#먹방유튜버', '#틱톡푸드', '#매운음식', '#치즈볼', '#뿌링클']",206,https://www.tiktok.com/@mukeunji1/video/7155011203885059329?q=%EC%9D%8C%EC%8B%9D
dkskwlal1,ㅋㅋㅋ 너무귀엽다,2019-3-22,1401,"['#음식', '#맛집']",33,https://www.tiktok.com/@dkskwlal1/video/6670825762096188673?q=%EC%9D%8C%EC%8B%9D
all.about.20s,치즈덕후들 눈 돌아갈,2020-12-18,7881,['#치즈가들어간음식'],55,https://www.tiktok.com/@all.about.20s/video/6907510035992120577?q=%EC%9D%8C%EC%8B%9D
yuuuuto38,抹茶好きな人あつまれ🍵🙋‍♂️ 東京で食べれるおすすめ抹茶スイーツ10個まとめてみた！ ①寿清庵「抹茶ティラミスクレープ」 ②butter「抹茶カヌレ&抹茶ラテ」 ③ななや青山「濃さの変わる7種抹茶チョコ」 ④かぐらちゃか「宇宙一濃い抹茶ラテ」 ⑤KITASANDOkissa「濃厚抹茶プリン」 ⑥寿清庵茶室「とろける抹茶フレンチトースト」 ⑦茶寮翠泉「出来たて抹茶わらび餅」 ⑧saten「3層抹茶みるくプリン」 ⑨THEMATCHATOKYO「抹茶がけジェラート」 ⑧氷おばけ「抹茶エスプーマかき氷」,4-16,2.1M,[],22.1K,https://www.tiktok.com/@yuuuuto38/video/7222486466792787202?q=%EC%9D%8C%EC%8B%9D
a.bite,오늘은 누가 좋아하는 음식일까요 ㅎㅎㅎ 🤣🤣,2022-8-25,256.1K,"['#한판만', '#foryou', '#foryoupage', '#fyp', '#mukbang', '#foryourpage']",9522,https://www.tiktok.com/@a.bite/video/7135764073240628481?q=%EC%9D%8C%EC%8B%9D
seeyouagain889,,2021-11-6,101.4K,"['#추천', '#마라', '#간식']",1082,https://www.tiktok.com/@seeyouagain889/video/7027376988390247681?q=%EC%9D%8C%EC%8B%9D
ddo.ho,파란색은 블루이야💙 또호가 먹은 파란색 빵은 뭘까요?(힌트:ㅎㅋㅇㅋ) 소스는 요거트😄,2021-3-25,319.5K,"['#틱톡푸드', '#파란색음식']",6314,https://www.tiktok.com/@ddo.ho/video/6943604215491087618?q=%EC%9D%8C%EC%8B%9D
ddo.sol,오늘의 급식🤟🏻 엄마밥🍚 엄마가 생각나는 음식! 하나씩 적고가기!! (또솔은 감자탕!닭발💘),2022-9-28,145.8K,"['#엄마사랑해요', '#마마']",922,https://www.tiktok.com/@ddo.sol/video/7148377816243997953?q=%EC%9D%8C%EC%8B%9D
human__country,한국인은 손도 못대는 인도 길거리 간식 실제 모습,6-1,18.6K,['#음식'],287,https://www.tiktok.com/@human__country/video/7239647684506684674?q=%EC%9D%8C%EC%8B%9D
foodradio,[],3-8,24.9K,[],110,https://www.tiktok.com/@foodradio/video/7208133896775421186?q=%EC%9D%8C%EC%8B%9D
ssamcle,치즈는 최대 몇?🧀,2022-8-15,32.5K,"['#치즈덕후', '#치즈먹방', '#쌈촌', '#먹방', '#세로먹방', '#간식먹방', '#틱톡먹방', '#틱톡푸드']",466,https://www.tiktok.com/@ssamcle/video/7131864663637118209?q=%EC%9D%8C%EC%8B%9D
sangspak,전 세계에서 유일하게 한국만 먹는 음식 4가지,2022-11-1,31.4K,['#food'],377,https://www.tiktok.com/@sangspak/video/7161052355922824450?q=%EC%9D%8C%EC%8B%9D
sinni1702,,2-20,32.6K,"['#매운맛', '#매운돈까스', '#디진다돈까스', '#매운방송', '#매운음식', '#spicy', '#koreanfood']",201,https://www.tiktok.com/@sinni1702/video/7202042231207791873?q=%EC%9D%8C%EC%8B%9D
kimpeckha03,태어나지 않은 새끼돼지 요리 “애저” 알아?,2022-9-3,41.9K,"['#애저', '#돼지요리', '#에듀톡', '#틱톡순삭']",605,https://www.tiktok.com/@kimpeckha03/video/7139117425429155074?q=%EC%9D%8C%EC%8B%9D
ddo.sol,물놀이 하고! 딱 1개의 음식만 고를 수 있다면!! 여러분들은 어떤 음식을 드실 건가요😚?? 왠지 라면 많을 것 같당💛,2021-8-24,496.5K,[],2489,https://www.tiktok.com/@ddo.sol/video/7000004446629399809?q=%EC%9D%8C%EC%8B%9D
bayashi.tiktok,,2-16,4.8M,['#tiktokfood'],25.6K,https://www.tiktok.com/@bayashi.tiktok/video/7200455203567471873?q=%EC%9D%8C%EC%8B%9D
ddo.mo2,4.1 // 🍡🌯🍛 지금 먹고싶은 음식 3위❤️‍🔥,4-1,36.3K,"['#먹방asmr', '#미유asmr', '#이모티콘먹방', '#추천간판', '#fyp']",685,https://www.tiktok.com/@ddo.mo2/video/7217010302670474497?q=%EC%9D%8C%EC%8B%9D
jimni062,명동 길거리 음식 근황..이게 맞아?! 음식 종류 다양하고 구경하는 재미도 있음 근데 가격이 놀랍긴 하네ㅎㅎㅎ 길거리 음식 솔직후기 2편 커밍쑨! 📍명동역 서울시 중구 명동,7-27,3174,[],22,https://www.tiktok.com/@jimni062/video/7260467933695036674?q=%EC%9D%8C%EC%8B%9D
hyo.boss_hyo.ming,🧚‍♀️,3-25,38.3K,"['#효보스', '#효보스']",2556,https://www.tiktok.com/@hyo.boss_hyo.ming/video/7214425643457596673?q=%EC%9D%8C%EC%8B%9D
179.3cm_,다들 일본에 가면 제일 먹고싶은 음식이 무엇인가요❔ ᐡ｡• · •｡ᐡ,2022-10-16,70.4K,"['#타팬한테도추천', '#일본편의점', '#파트너크리에이터']",373,https://www.tiktok.com/@179.3cm_/video/7155088865265454337?q=%EC%9D%8C%EC%8B%9D
zzapzzal,인싸 뽀글이,1-18,9558,"['#인싸', '#뽀글이', '#라면', '#인싸먹는법', '#진순', '#순한맛', '#매운맛', '#먹방', '#음식', '#요리', '#리뷰']",332,https://www.tiktok.com/@zzapzzal/video/7187777854661283074?q=%EC%9D%8C%EC%8B%9D
a.bite,오늘은 먹스나 먹고싶은 음식~ 최애곡 함께❤️,1-4,139.3K,"['#한판만', '#foryoupage', '#foryourpage', '#fyp', '#mukbang']",1161,https://www.tiktok.com/@a.bite/video/7184765888220925185?q=%EC%9D%8C%EC%8B%9D
rod_0416,소식하는연예인들,8-3,10.3K,"['#소식좌', '#먹방', '#음식', '#추천떠라', '#연예인이야기', '#틱톡꿀잼']",291,https://www.tiktok.com/@rod_0416/video/7262996893813263617?q=%EC%9D%8C%EC%8B%9D
bonggileats,ASMR | Four Spicy Noodles With Dumpling Fried Tofu Sushi MuKBang~!!,2-7,2.2M,"['#bonggil', '#bonggileats', '#bonggil_asmr']",40.8K,https://www.tiktok.com/@bonggileats/video/7197386666007448875?q=%EC%9D%8C%EC%8B%9D
snack_arts,감기에 좋은 음식 Top.5,2020-1-14,37.7K,"['#yb', '#감기', '#낫는', '#좋은']",765,https://www.tiktok.com/@snack_arts/video/6781629588939312386?q=%EC%9D%8C%EC%8B%9D
lukedidthat91,Spicy Gold Food ASMR!? 🥵,10-3,348.8K,"['#muk', '#mukbang', '#mukbangeatingshow', '#mukbangvideo']",3595,https://www.tiktok.com/@lukedidthat91/video/7285681199425670432?q=%EC%9D%8C%EC%8B%9D
sukamukbang.official,"Mukbang mountain rice, kimchi stew & spicy squid (Yt:UDT Mukbang)",7-29,238.5K,"['#udt', '#udtmukbang', '#mukbangkorea']",1889,https://www.tiktok.com/@sukamukbang.official/video/7260884561540779269?q=%EC%9D%8C%EC%8B%9D
sunny_eating_,드디어 마라탕❤️‍🔥 여러분 제일 좋아하는 재료는? (젓가락 최소한으로 쓰려다보니 국물 흐른거 이해부탁드려요🤭),10-20,270.7K,[],1311,https://www.tiktok.com/@sunny_eating_/video/7292012633354538242?q=%EC%9D%8C%EC%8B%9D
jabsik_dinosaur,"아이스크림 올려주는 라멘집..? 엄마가 음식으로 장난치면 혼난다그랬는데, 한정판매라 궁금하면 얼른 다녀오세요!!",4-19,42K,[],165,https://www.tiktok.com/@jabsik_dinosaur/video/7223706243792112904?q=%EC%9D%8C%EC%8B%9D
mukppe,맛있으면 살 안쪄. 적당히 먹자.. ㅎㅎ,2022-1-15,128.9K,[],863,https://www.tiktok.com/@mukppe/video/7053349228655021313?q=%EC%9D%8C%EC%8B%9D
hong_sound12,순두부열라면 리얼사운드 #열라면 #라면 #먹방 #틱톡미식회 #틱톡푸드 #집가락 #홍사운드 #Ramen #noodles #eatingshow #eating #ASMR #eatingfood,8-29,56.6K,"['#열라면', '#라면', '#먹방', '#틱톡미식회', '#틱톡푸드', '#집가락', '#홍사운드', '#Ramen', '#noodles', '#eatingshow', '#eating', '#ASMR', '#eatingfood']",359,https://www.tiktok.com/@hong_sound12/video/7272685389448629505?q=%EC%9D%8C%EC%8B%9D
ohmygarlic,소떡소떡씨 미치셨나요? Let's cook korean street food with music🎵 (대체 소떡소떡은 영어로 어떻게 표현해야 하는걸까...sodduck sodduck...?!),8-12,70.1K,[],192,https://www.tiktok.com/@ohmygarlic/video/7266446933982579976?q=%EC%9D%8C%EC%8B%9D
