Writer,Content,Date,Like,Tag,Comments,Url
melody_travel,"강한자만 살아남는다는 그네 그네가 왜 360도 한바퀴 회전해버려..?ㅋㅋㅋㅋㅋ 📍스몹(스포츠몬스터) 360스윙 스타필드 고양,하남,안성점에만 있음 *고양점 : 경기 고양시 덕양구 고양대로 1955 스타필드 4층 *하남점 : 경기 하남시 미사대로 750 4층 *안성점 : 경기 안성시 공도읍 서동대로 3930-39 스타필드 3층 ⏰10:00~21:00(전 지점 동일) 💰*고양/하남 2시간 패스 비수기 26,000/성수기 30,000 *안성 2시간 패스 비수기 25,000/성수기 28,000 👩‍👩‍👧‍👦주말(토요일) 고양점 기준 약 20분정도 기다리고 탔어요. (안내요원이 얼마나 빠릿하게 발 묶고 풀어주고, 그네 멈춰주는지에 따라 대기시간이 좀 많이 달라지더라구요) 👚360스윙 말고도 액티비티 할게 진짜 많아서, 옷은 무조건 편한걸로 입고오세요!!! 그래야 뽕 제대로 뽑고 개졸잼으로 즐길 수 있음(⭐️특히 추천하는거 : 어드벤처 코스 하드모드로 꼭 해보세요 짚라인 달고 건물 천장 기어다니고 외줄타고 날라다니고 할 수 있는데 개꿀잼) 왕년에 놀이터에서 그네 좀 타봤던 사람들 다 모여보셈 대결ㄱㄱ",8-27,420,[],21,https://www.tiktok.com/@melody_travel/video/7271940873179368722?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
soccer.issue,[축구] 역대급 수중전이 펼처지자.. 난리난 선수들 ㅎㄷㄷ,8-4,6334,"['#축구', '#레전드', '#스포츠']",22,https://www.tiktok.com/@soccer.issue/video/7263084888478321927?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
team1llusion,이거 가능한 사람⁉️ Who can do this❓,2022-12-15,151.1K,"['#soonent', '#파트너크리에이터', '#나처럼해봐요']",141,https://www.tiktok.com/@team1llusion/video/7177330670644104450?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
funbbunman,😱,2022-11-12,63.7K,"['#틱톡순삭', '#틱톡스포츠', '#명장면', '#펜싱', '#interesting', '#tiktoksports', '#추천뜨게해주세요']",619,https://www.tiktok.com/@funbbunman/video/7165051748648897793?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
____lljjyy___,,2022-8-12,57K,"['#taekwondo', '#soonent', '#틱톡스포츠', '#추천', '#운동하는여자']",328,https://www.tiktok.com/@____lljjyy___/video/7130641889144950018?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
wikipost,,2021-8-2,30.5K,"['#당구', '#당구영상', '#당구장', '#당구선수', '#전설', '#유머영상', '#유머틱톡', '#위키포스트', '#빅잼']",430,https://www.tiktok.com/@wikipost/video/6991741295274298625?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
user1451381382867,2023 KUSF 대학 배구 U-리그 기나긴 랠리의 끝은 ??,6-28,20.8K,"['#한국대학스포츠협의회', '#대학스포츠', '#틱톡스포츠']",70,https://www.tiktok.com/@user1451381382867/video/7249637345866091778?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
joung2222,한강이의 태권도 실력🫢🔥,3-4,102.6K,[],901,https://www.tiktok.com/@joung2222/video/7206581922070351106?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
goale_official,김민재가 알려주는 롱킥 꿀팁??,2022-9-5,76K,"['#고알레', '#틱톡스포츠', '#나폴리', '#김민재']",151,https://www.tiktok.com/@goale_official/video/7139730466839596289?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
funbbunman,😁,2022-11-29,42.1K,"['#틱톡순삭', '#틱톡스포츠', '#명장면', '#tiktoksports', '#amazingvideo', '#축구', '#월드컵', '#추천뜨게해주세요']",551,https://www.tiktok.com/@funbbunman/video/7171297652305333506?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
imymemine005,하늘을 날아다니는 스포츠 ㅎㄷㄷ,9-14,7044,"['#신기한', '#쩌는', '#신기한영상', '#개웃김주의', '#재밌는영상']",69,https://www.tiktok.com/@imymemine005/video/7278619748714155266?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
power_mate,어떻게 살았지ㄷㄷ아찔한 파쿠르 순간들,6-15,31.9K,['#파쿠르'],435,https://www.tiktok.com/@power_mate/video/7244846819451194625?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
ggj.official,부자간의 격돌!,3-21,40.7K,"['#추천', '#틱톡스포츠', '#tiktoksports', '#MUSA오산', '#WNGP', '#운동의모든것', '#보디빌딩']",521,https://www.tiktok.com/@ggj.official/video/7212935454419668226?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
_master_choi_,다음 ?? 에 들어갈 숫자는?? [각 10점],2-10,100.7K,"['#최사범님', '#스포츠', '#틱톡스포츠']",1532,https://www.tiktok.com/@_master_choi_/video/7198427841036373250?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
sprots___story,축구선수들은 왜 복근이 없을까?,10-23,13.9K,[],224,https://www.tiktok.com/@sprots___story/video/7293036278717746433?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
____lljjyy___,,4-16,3.4M,"['#태권도', '#틱톡스포츠', '#추천', '#poomsae', '#taekwondo']",10.2K,https://www.tiktok.com/@____lljjyy___/video/7222305294171278593?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
team1llusion,장꾸커플 텀블링 하루만에 할 수 있을까? 🔥 Make a successful backflip in one day,2022-10-3,95K,"['#soonent', '#틱톡스포츠']",231,https://www.tiktok.com/@team1llusion/video/7150244291393162498?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
_master_choi_,,9-12,475.3K,"['#supershy', '#super_shy', '#태권크리', '#태권도', '#인도', '#india', '#taekwondo']",2035,https://www.tiktok.com/@_master_choi_/video/7277922735819459858?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
2yejin_,내가 브라를 차는 이유,7-28,73.4K,"['#악플', '#댓글읽기', '#유튜브', '#숏컷여자', '#다이어트', '#다이어트꿀팁', '#추천']",1773,https://www.tiktok.com/@2yejin_/video/7260747745852493063?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
si_hyun_car,나랑 놀자 따라와 come on😎🚗💕#,2022-6-9,405.5K,"['#driftgirl', '#드리프트', '#jdmgirl', '#']",1901,https://www.tiktok.com/@si_hyun_car/video/7107181421248236801?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
healthqueen95,다이어트 할 때 최대 고민? 내 소중한... 얼마 남지 않은..... 가슴지켜🔥🔥,2022-12-1,30.1K,"['#추천', '#틱톡순삭', '#diet', '#다이어트']",60,https://www.tiktok.com/@healthqueen95/video/7172113637845323009?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,white belt🤣🤣,2-15,676.8K,"['#추천', '#fyp', '#유도', '#judo', '#틱톡스포츠', '#파트너크리에이터']",1981,https://www.tiktok.com/@yyy_judo/video/7200327776749096194?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
matiland_mati,30kg 감량하면서 바스트 유지한 방법...!? . .,8-3,22K,"['#다이어터', '#다이어트', '#홍박사챌린지', '#mati']",153,https://www.tiktok.com/@matiland_mati/video/7263000514210680065?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
joung2222,고생했어 자랑스러운 공주들👑 🥋,2-19,21.5K,['#킹스레이디'],162,https://www.tiktok.com/@joung2222/video/7201693908504579329?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
healthqueen95,"다이소에서 파는 3,000원짜리 극강의 가성비 스포츠 뿌라자는 어떨까?!",3-21,41.4K,"['#추천', '#틱톡순삭', '#diet', '#다이어트']",96,https://www.tiktok.com/@healthqueen95/video/7212995863700983042?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
wrestling_mingcoach,레슬링은 가능하지만 유도는 하면 안되는 기술,2022-10-15,23.7K,"['#틱톡스포츠', '#레슬링', '#wrestling', '#알파레슬링']",117,https://www.tiktok.com/@wrestling_mingcoach/video/7154712293559815425?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
matgga,님에게 회신 🔥일주일만에 허리 얇아질 사람? 드루와!🔥,22시간 전,1893,"['#허리라인', '#허리얇아지는법', '#다이어트', '#홈트']",46,https://www.tiktok.com/@matgga/video/7308297836716772616?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
shindonghwan1,한 기술을 만들기까지,7-22,1.6M,"['#치어리딩', '#틱톡스포츠']",4061,https://www.tiktok.com/@shindonghwan1/video/7258642693969022209?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
soccer.issue,[축구] 드디어 만난 호날두,9-2,40.2K,"['#호날두', '#스피드', '#스포츠']",42,https://www.tiktok.com/@soccer.issue/video/7274122437330078983?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
dygw8wtz75pf,격투 스포츠 역대 최강자들,2022-6-19,11.4K,"['#레슬링', '#유도', '#MMA', '#복싱', '#추천']",235,https://www.tiktok.com/@dygw8wtz75pf/video/7110849600466029826?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
bonbons._.s,꼴찌여도 괜찮아!,2021-9-23,10K,"['#kusf', '#대학스포츠협의회', '#틱톡스포츠', '#러너', '#스포츠맨십', '#추천']",38,https://www.tiktok.com/@bonbons._.s/video/7011053451828317441?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
0_jun.e,누가 가장 잘찼나요? 이런친구 소환ㄱㄱ,7-30,7196,"['#슈팅대결', '#추천']",197,https://www.tiktok.com/@0_jun.e/video/7261491370618080520?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
extreme.kr,눈빛에서 살기가 ㄷㄷ #블랙컴뱃 #mma #격투기 #예능 #운동 #운동자극 #틱톡스포츠 #추천 # 추천추천 #스포츠 #하이라이트 #경기,6-9,56K,"['#블랙컴뱃', '#mma', '#격투기', '#예능', '#운동', '#운동자극', '#틱톡스포츠', '#추천', '#', '#스포츠', '#하이라이트', '#경기']",563,https://www.tiktok.com/@extreme.kr/video/7242544733933948162?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,본인 운동에서 제일 듣기 싫은 말은?🥲,2022-9-19,70.5K,"['#추천', '#유도', '#용인대학교', '#judo', '#용용용', '#파트너크리에터']",1079,https://www.tiktok.com/@yyy_judo/video/7144951053841075458?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
seojin020327,스턴트 치어리딩 아찔한 순간들,2022-5-29,79.3K,"['#치어리딩', '#틱톡스포츠', '#응원단', '#치어리더', '#cheerleading']",574,https://www.tiktok.com/@seojin020327/video/7103108868326034689?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
team1llusion,ㄷㄷ 미친 유연성 😱 crazy flexibility,2022-11-15,51.5K,"['#soonent', '#파트너크리에이터']",125,https://www.tiktok.com/@team1llusion/video/7166203228315585793?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
tubagussm,Best rally today🔥💯 Choi/Kim v Astrup/Rasmussen,2022-6-19,751.8K,"['#indonesiaopen2022', '#badminton', '#sport']",1525,https://www.tiktok.com/@tubagussm/video/7110619589540597018?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
wrestling__coach,이런 사람이랑 절대 싸우지 마세요,1-9,43.6K,"['#틱톡스포츠', '#유도', '#주짓수', '#종합격투기', '#운동', '#추천']",462,https://www.tiktok.com/@wrestling__coach/video/7186483772118797570?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,띠 30개 매고 메치기 가능??🤣,7-5,23.5K,"['#fyp', '#유도', '#틱톡스포츠', '#용용용', '#용인대학교', '#운동']",207,https://www.tiktok.com/@yyy_judo/video/7252276439007939858?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
____lljjyy___,,7-1,2.6M,"['#태권도', '#태권도선수', '#틱톡스포츠', '#taekwondo', '#추천']",5463,https://www.tiktok.com/@____lljjyy___/video/7250856206326107394?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
ancoach,Can you hit the ball blindfolded?,2022-12-14,288.9K,"['#badminton', '#나처럼해봐요', '#자주하는실수', '#koreabadminton']",405,https://www.tiktok.com/@ancoach/video/7176844243942591746?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,살기위한 몸부림..ㅋㅋㅋ😨😨,8-6,393.2K,"['#추천', '#fyp', '#틱톡스포츠', '#용인대학교', '#용용용', '#운동']",2211,https://www.tiktok.com/@yyy_judo/video/7264149462140964097?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,white belt care..😅,2-18,247.1K,"['#추천', '#fyp', '#유도', '#judo', '#용용용', '#틱톡스포츠', '#파트너크리에이터']",987,https://www.tiktok.com/@yyy_judo/video/7201439511237250306?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
kusfreporter,배구팀 최장신 기자와 선수들의 키 차이🙋‍♀️,2022-3-30,175.3K,"['#키차이', '#경기대', '#배구', '#대학스포츠', '#대학배구']",1177,https://www.tiktok.com/@kusfreporter/video/7080769005916654894?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
joung2222,🇰🇷틱톡하는 태권도 국가대표 소개🇰🇷,2021-6-9,59.4K,['#틱톡스포츠'],721,https://www.tiktok.com/@joung2222/video/6971780707584724226?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
ancoach,여자친구랑 배드민턴 치는법 Badminton play with girfriends,3-29,5180,"['#CapCut', '#badminton', '#배드민턴', '#레슨']",16,https://www.tiktok.com/@ancoach/video/7215640132618177793?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,유도 발기술 모음! / Asi waza Collection🤩,2022-10-24,92.1K,"['#틱톡스포츠', '#유도', '#용인대학교', '#judo', '#용용용']",425,https://www.tiktok.com/@yyy_judo/video/7157937424520269057?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
gk_doblock,세이브 모음😄#,2022-5-6,661.1K,"['#힐링스포츠', '#레이로', '#', '#', '#', '#', '#']",3407,https://www.tiktok.com/@gk_doblock/video/7094483535410515201?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
nosori_19,운동하는 여자라면 꼭 봐야하는 영상,2022-9-29,33.7K,"['#추천', '#파트너크리에이터']",59,https://www.tiktok.com/@nosori_19/video/7148753988366765314?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
olzz_parkour_,애들이 부모님 부른다...,9-18,3487,"['#파쿠르', '#운동', '#놀이터짱짱맨', '#1인칭시점', '#틱톡스포츠']",464,https://www.tiktok.com/@olzz_parkour_/video/7280071429398269186?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
solar0514,이거 스포츠애니 꼭 봐야함!!!,9-24,43,['#스포츠애니'],3,https://www.tiktok.com/@solar0514/video/7282056599928163586?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
y._6kll,우린 체육대회 아니고 스포츠 페스티벌…,10-6,29.1K,[],255,https://www.tiktok.com/@y._6kll/video/7286742965916077320?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
psi125,2023 올스타전.소크라테스 트럼펫 가지고 등장합니다,7-16,8973,"['#기아타이거즈', '#소크라테스', '#올스타전']",72,https://www.tiktok.com/@psi125/video/7256076409511136530?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
____lljjyy___,,2022-10-13,2M,"['#틱톡스포츠', '#파트너크리에이터', '#taekwondo']",8999,https://www.tiktok.com/@____lljjyy___/video/7153916644199337218?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,Judo rizz😎🥀,11-19,119.1K,"['#추천', '#fyp', '#용용용', '#유도', '#용인대학교', '#운동', '#judoka', '#rizz']",1465,https://www.tiktok.com/@yyy_judo/video/7303127554959920391?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
