Writer,Content,Date,Like,Tag,Comments,Url
like8822m,[],2022-7-2,15.4K,"['#진짜사나이', '#화생방', '#눈물', '#콧물', '#지옥체험']",238,https://www.tiktok.com/@like8822m/video/7115484613799185665?q=%EA%B5%90%EC%9C%A1
seongin1227,[],2022-10-16,14.9K,"['#kusf러너교육', '#선수트레이너', '#선수트레이너교육']",73,https://www.tiktok.com/@seongin1227/video/7154773978907806978?q=%EA%B5%90%EC%9C%A1
mnbvcx900223,[],8-30,86.3K,"['#학생', '#어린이', '#일상']",2196,https://www.tiktok.com/@mnbvcx900223/video/7272952819311791362?q=%EA%B5%90%EC%9C%A1
zisik_cat,[],2022-5-27,23.9K,"['#지식', '#상식', '#틱톡교육', '#틱톡교실']",96,https://www.tiktok.com/@zisik_cat/video/7102246971775274242?q=%EA%B5%90%EC%9C%A1
rlasks1222,[],2021-9-25,24.5K,"['#틱톡쌤', '#틱톡교실', '#온라인수업', '#성교육', '#성교육강사', '#난쌤']",265,https://www.tiktok.com/@rlasks1222/video/7011808039451774209?q=%EA%B5%90%EC%9C%A1
joongangilbo_official,[],23시간 전,179,"['#이상민', '#민주당', '#개딸']",370,https://www.tiktok.com/@joongangilbo_official/video/7308259622748556551?q=%EA%B5%90%EC%9C%A1
1geumbi.____.2,[],2022-7-28,35.2K,"['#댕댕이', '#일상']",1466,https://www.tiktok.com/@1geumbi.____.2/video/7125418047724162306?q=%EA%B5%90%EC%9C%A1
sanh0412,[],2022-2-14,14K,"['#CapCut', '#추천', '#지금우리학교는']",62,https://www.tiktok.com/@sanh0412/video/7064468903392546049?q=%EA%B5%90%EC%9C%A1
syzhlin,[],1-5,63.9K,"['#영어', '#영어공부', '#에듀톡', '#틱톡쌤']",224,https://www.tiktok.com/@syzhlin/video/7184992893570944258?q=%EA%B5%90%EC%9C%A1
blue7_0128,[],2020-8-30,990,"['#째현', '#말잘한다', '#촉법소년', '#06년생사건']",4,https://www.tiktok.com/@blue7_0128/video/6866584965644061954?q=%EA%B5%90%EC%9C%A1
ta2subottlegod,[],2022-9-3,32.6K,[],146,https://www.tiktok.com/@ta2subottlegod/video/7139002737806576897?q=%EA%B5%90%EC%9C%A1
.knowledge.is.power,[],11-15,3240,"['#옛날영상', '#80년대', '#군사정권', '#삼청교육대']",606,https://www.tiktok.com/@.knowledge.is.power/video/7301561677500271880?q=%EA%B5%90%EC%9C%A1
ta2subottlegod,[],2022-8-31,11.3K,[],92,https://www.tiktok.com/@ta2subottlegod/video/7137954032844410114?q=%EA%B5%90%EC%9C%A1
