Writer,Content,Date,Like,Tag,Comments,Url
chae._.ullet,000 하나로 5초만에 화장한 듯 예뻐지는 법?! (방학동안 이걸로 같이 예뻐져서 개강여신 가즈앗!!),8-4,33K,['#방학동안예뻐지기'],265,https://www.tiktok.com/@chae._.ullet/video/7263389517502106888?q=%EB%B7%B0%ED%8B%B0
luadoll,내 머리는 소중해😌,2022-5-30,323.7K,"['#beauty', '#hair', '#luabeauty', '#헤어꿀팁', '#루아뷰티', '#헤어스타일']",1786,https://www.tiktok.com/@luadoll/video/7103469135350353153?q=%EB%B7%B0%ED%8B%B0
luadoll,판고데기 웨이브💗,2022-6-14,3.2M,"['#beauty', '#hair', '#luabeauty', '#헤어꿀팁', '#루아뷰티', '#헤어스타일']",4983,https://www.tiktok.com/@luadoll/video/7109036026856738050?q=%EB%B7%B0%ED%8B%B0
luadoll,괄사 효과는 정말👍🏻,2022-7-1,50.5K,"['#yina', '#guasha', '#luabeauty', '#틱톡뷰티']",135,https://www.tiktok.com/@luadoll/video/7115353073878617346?q=%EB%B7%B0%ED%8B%B0
etude_official,도아의 아찔한 속눈썹👁 컬픽스 마스카라로 완성❣️,2021-10-13,115.5K,"['#컬픽스', '#컬픽스마스카라', '#뷰티']",1117,https://www.tiktok.com/@etude_official/video/7018426619257818370?q=%EB%B7%B0%ED%8B%B0
woo_ryeong,시각장애 여대생이 혼자 화장하다가...,2022-5-23,60.2K,"['#메이크업', '#틱톡뷰티', '#추천', '#틱톡순삭', '#우령의유디오']",138,https://www.tiktok.com/@woo_ryeong/video/7100845026565033218?q=%EB%B7%B0%ED%8B%B0
luadoll,틴트 바르기😍,2022-9-3,109.6K,"['#beauty', '#makeup', '#luabeauty', '#뷰티', '#뷰티꿀팁', '#루아뷰티', '#틱톡뷰티']",151,https://www.tiktok.com/@luadoll/video/7139093534920985858?q=%EB%B7%B0%ED%8B%B0
cute_.dami,오버립 예쁘게 하는 공식..? ⋆ ⋆ ⋆,18시간 전,243,"['#뷰티', '#뷰티꿀팁', '#틱톡뷰티', '#꿀템', '#틴트', '#틴트추천', '#틴트바르기']",2,https://www.tiktok.com/@cute_.dami/video/7308339117950012674?q=%EB%B7%B0%ED%8B%B0
ebs_mania,이해하려고 노력하는 엄마! 대단해요 :),2021-10-22,67.5K,"['#EBS', '#부모', '#엄마', '#아들', '#중학생', '#화장', '#메이크업']",443,https://www.tiktok.com/@ebs_mania/video/7021782282432236801?q=%EB%B7%B0%ED%8B%B0
luadoll,Y2K 반묶음 이쁘게 묶기🖤,2022-11-26,260.9K,"['#틱톡뷰티', '#머리묶는법', '#뷰티', '#beauty', '#hairstyle', '#haistyletutorial']",398,https://www.tiktok.com/@luadoll/video/7170249574072716545?q=%EB%B7%B0%ED%8B%B0
lovelyaralla0,틱톡에서 내 펄스널컬러를 찾을줄이야. . 대박👍. 꼭한번해봐.,2022-9-16,24.6K,"['#퍼스널컬러테스트', '#틱톡뷰티', '#파트너크리에이터']",124,https://www.tiktok.com/@lovelyaralla0/video/7143942176622267649?q=%EB%B7%B0%ED%8B%B0
insight_beauty,9살인데 벌써 완성형 미모 뽐내는 '우영우' 아역배우😊,2022-7-22,13.2K,"['#아역', '#배우', '#뷰티', '#beauty', '#fyp', '#오지율']",197,https://www.tiktok.com/@insight_beauty/video/7123090944626281730?q=%EB%B7%B0%ED%8B%B0
hp_makeup.kr,🍪 쿠키있음 ㅎㅎ 리뷰 원하길래 마침 있어서 가져와봄!!!,2022-11-21,38.6K,"['#틱톡뷰티', '#파트너크리에이터', '#makeup']",98,https://www.tiktok.com/@hp_makeup.kr/video/7168185034514402562?q=%EB%B7%B0%ED%8B%B0
insight_beauty,못본새 얼굴 분위기 확 달라진 아이즈원 출신 이채연 외모 근황🥰,2-28,17.9K,"['#이채연', '#아이즈원', '#근황', '#비주얼', '#미모']",723,https://www.tiktok.com/@insight_beauty/video/7205026469024648450?q=%EB%B7%B0%ED%8B%B0
164cm_mody,머릿결 절대 지켜 ….!!!,2022-9-17,115K,"['#파트너크리에이터', '#틱톡뷰티', '#hair']",517,https://www.tiktok.com/@164cm_mody/video/7144347542069792001?q=%EB%B7%B0%ED%8B%B0
nana6a6y,내가 200% 효과 본 자기관리들 Part.1 💭,2022-4-27,20.1K,[],72,https://www.tiktok.com/@nana6a6y/video/7091227584393923842?q=%EB%B7%B0%ED%8B%B0
hp_makeup.kr,커팅 블러셔 🦋 Cake cutting 🍰,2020-9-6,471.1K,"['#maccosmetics', '#fyp', '#cake', '#추천', '#블러셔']",5228,https://www.tiktok.com/@hp_makeup.kr/video/6869373545378581762?q=%EB%B7%B0%ED%8B%B0
aiden_parkk,순서만 잘 지켜도 피부 메이크업 끝🙌🏻,2022-8-22,59K,"['#틱톡뷰티', '#메이크업실수', '#맨즈그루밍', '#남자메이크업']",290,https://www.tiktok.com/@aiden_parkk/video/7134619517828844802?q=%EB%B7%B0%ED%8B%B0
annavyoum,"🩷핑순이 취향저격 신상립🩷 허윤진 틴트 쓰고 싶었던 쿨톤~💞위하여 웨메 진짜 핑크립 맛집이쥬 다 예쁘네,,,어떤게 젤 마음에 들어요?!",7-2,1488,[],11,https://www.tiktok.com/@annavyoum/video/7251101195459235090?q=%EB%B7%B0%ED%8B%B0
qgw0628,저는무슨색이어울릴까요,7-25,17.1K,"['#애쉬바이올렛', '#염색추천', '#컬러추천', '#뷰티꿀팁', '#퍼스널컬러']",250,https://www.tiktok.com/@qgw0628/video/7259696104357334273?q=%EB%B7%B0%ED%8B%B0
hp_makeup.kr,와 신기한데?,2022-12-2,69.6K,"['#틱톡뷰티', '#메이크업', '#파트너크리에이터', '#makeup']",208,https://www.tiktok.com/@hp_makeup.kr/video/7172234836294372609?q=%EB%B7%B0%ED%8B%B0
plie_maden,꾸울팁 😉,2021-9-4,217.9K,"['#plie', '#플리에', '#틱톡꿀팁', '#틱톡뷰티', '#skincare']",1085,https://www.tiktok.com/@plie_maden/video/7003911517166947586?q=%EB%B7%B0%ED%8B%B0
luadoll,판고데기 웨이브🫶🏻,2022-11-29,1.8M,"['#틱톡뷰티', '#루아뷰티', '#hairstyle', '#haistyletutorial', '#schoolhairstyles']",1909,https://www.tiktok.com/@luadoll/video/7171329313743179009?q=%EB%B7%B0%ED%8B%B0
.dd9668,부부생활은 이렇게 입어야 열정이 있습니다.,8-24,983,"['#잠옷추천하세요', '#커플', '#섹시', '#슬림', '#원피스']",37,https://www.tiktok.com/@.dd9668/video/7270714479955004674?q=%EB%B7%B0%ED%8B%B0
hp_makeup.kr,아니 저 싫어하세요 ? ㅋㅋㅋㅋㅋㅋㅋㅋ,8-3,36.2K,['#메이크업'],71,https://www.tiktok.com/@hp_makeup.kr/video/7263077717204225288?q=%EB%B7%B0%ED%8B%B0
cookingmua,님에게 회신 울먹메이크업 제품정보^^,2022-4-24,43.8K,['#청담언니'],122,https://www.tiktok.com/@cookingmua/video/7089963868599946497?q=%EB%B7%B0%ED%8B%B0
sale3263,조회수 80만회 나온 똥머리 예쁘게 묶는법,18시간 전,19.1K,"['#틱톡뷰티', '#헤어꿀팁', '#머리묶기', '#하이번']",105,https://www.tiktok.com/@sale3263/video/7308341331133304065?q=%EB%B7%B0%ED%8B%B0
ben_project,너무 이뻐서 생각없이 보기 좋은 영상. 청담동미용실 웨딩헤어 과정 ASMR..,4-26,9796,"['#벤뷰티', '#tiktokbeauty', '#웨딩헤어']",29,https://www.tiktok.com/@ben_project/video/7226354254787710209?q=%EB%B7%B0%ED%8B%B0
cookingmua,무지개 립글로즈 🌈☺️,3-24,67.9K,"['#요리하는메이크업아티스트', '#틱톡뷰티', '#makeupasmr', '#립글로스만들기']",270,https://www.tiktok.com/@cookingmua/video/7214081055064739090?q=%EB%B7%B0%ED%8B%B0
hyunsoday,학생메이크업 치트키 다 알려줄게 집쭝‼️ 깔끔하면서 자연스럽게 하는게 제일 중요한거같은데 똥손이라도 쉽게할수있는템들인거같음 ! 첫번째 선밤제품은 파운데이션 안발라도 단독으로 바를수있다는점 ✨ 궁금한점 댓글로 물어보면 다 알려줄게 🩷,7-18,47.6K,[],105,https://www.tiktok.com/@hyunsoday/video/7257080271726562562?q=%EB%B7%B0%ED%8B%B0
sale3263,트렌디하게 아이섀도우 바르는법✔️,1-17,107.3K,"['#눈화장', '#틱톡뷰티', '#눈커지는메이크업', '#fyp', '#eyemakeup']",104,https://www.tiktok.com/@sale3263/video/7189579720629964033?q=%EB%B7%B0%ED%8B%B0
cookingmua,골드펄 핑크보라 우산 립글로즈😉,4-2,179.6K,"['#청담언니', '#요리하는메이크업아티스트', '#틱톡뷰티', '#asmr']",318,https://www.tiktok.com/@cookingmua/video/7217414087804865794?q=%EB%B7%B0%ED%8B%B0
hestyy_y,세상에서 가장 작은 틴트 바르기!!,2-10,31.6K,"['#틴트바르기', '#틱톡뷰티', '#세상에서가장', '#작은', '#틴트', '#tiktokbeauty']",124,https://www.tiktok.com/@hestyy_y/video/7198457460103843073?q=%EB%B7%B0%ED%8B%B0
inssiinssi,중심부만 피해줘도 훨씬 가벼워 보여요 진짜ㅜㅜㅜ👍❤❤,2022-7-9,246.6K,"['#여름메이크업', '#틱톡뷰티', '#화장', '#메이크업']",331,https://www.tiktok.com/@inssiinssi/video/7118154513285909762?q=%EB%B7%B0%ED%8B%B0
eunchae_beauty,세상에 없던 쿠션🫢,10-3,630,"['#촉촉한쿠션', '#쿠션추천', '#글로우쿠션', '#데일리메이크업', '#틱톡뷰티']",29,https://www.tiktok.com/@eunchae_beauty/video/7285672781923028225?q=%EB%B7%B0%ED%8B%B0
allinbeautywoman,이 유형의 여자는 일자눈썹하면 절대 하지마세요,7-22,2692,"['#여자반영구', '#올인뷰티']",8,https://www.tiktok.com/@allinbeautywoman/video/7258505405351873794?q=%EB%B7%B0%ED%8B%B0
hoonion,"막발라도 손나 예쁨 매트쿠션,,,😱",2022-9-21,41.2K,"['#틱톡뷰티', '#올리브영추천템']",345,https://www.tiktok.com/@hoonion/video/7145762173556395266?q=%EB%B7%B0%ED%8B%B0
selfbeauty_unni,틱톡대란,7-10,301,"['#대왕퍼프', '#셀뷰언니', '#뷰티템', '#뷰티실험실', '#알리익스프레스', '#알리하울']",1,https://www.tiktok.com/@selfbeauty_unni/video/7254176256143396098?q=%EB%B7%B0%ED%8B%B0
fwee_makeup,인스타 담당자가 바쁠 때 (뭐 올릴지 모르겠을 때) 컨텐츠 찍는 방법,2022-7-25,26.3K,"['#틱톡뷰티', '#fyp', '#추천주세요']",58,https://www.tiktok.com/@fwee_makeup/video/7124283460478405890?q=%EB%B7%B0%ED%8B%B0
